district_id,district,school_id,school,grade,scheduled_start,actual_start,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,survey_date
608,Bartow County,296,Kingston Elementary School,PK-05 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
608,Bartow County,301,Adairsville Middle School,06-08 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
608,Bartow County,377,Hamilton Crossing Elementary School,PK-05 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
608,Bartow County,396,Taylorsville Elementary School,PK-05 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
608,Bartow County,2052,Emerson Elementary School,PK-05 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
609,Ben Hill County,111,Ben Hill Elementary School,03-05 ,7/29/2020,8/2/2020,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,,,,,,,,,,,7/6/2021 8:09
609,Ben Hill County,196,Ben Hill County Primary School,PK-02 ,7/29/2020,8/2/2020,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,,,,,,,,,,,7/6/2021 8:09
609,Ben Hill County,291,Fitzgerald High School,09-12 ,7/29/2020,8/2/2020,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Hybrid,Virtual,Virtual,Virtual,,,,,,,5,,,,7/6/2021 8:09
609,Ben Hill County,296,Ben Hill County Middle School,06-08 ,7/29/2020,8/2/2020,Virtual,Virtual,Virtual,Hybrid,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,,,,10,,,,,,,7/6/2021 8:09
609,Ben Hill County,392,Hurricane Transition Academy,05-12 ,7/29/2020,8/2/2020,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,,,,,,,,,,,7/6/2021 8:09
